config_iomux_e7_g2,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20
W56,CFG_RMUX14<57>,CFG_RMUX14<56>,CFG_RMUX14<54>,CFG_RMUX14<52>,CFG_RMUX14<50>,CFG_RMUX14<10>,CFG_RMUX14<12>,CFG_RMUX14<14>,CFG_RMUX14<16>,CFG_RMUX14<17>,CFG_RMUX14<30>,CFG_RMUX14<32>,CFG_RMUX14<34>,CFG_RMUX14<36>,CFG_RMUX14<37>,CFG_IOMUX13<4>,CFG_IOMUX13<8>,CFG_IOMUX13<0>,CFG_IOMUX13<2>,CFG_IOMUX13<5>,CFG_SeamMUX<34>
W57,CFG_RMUX14<58>,CFG_RMUX14<59>,CFG_RMUX14<55>,CFG_RMUX14<53>,CFG_RMUX14<51>,CFG_RMUX14<11>,CFG_RMUX14<13>,CFG_RMUX14<15>,CFG_RMUX14<19>,CFG_RMUX14<18>,CFG_RMUX14<31>,CFG_RMUX14<33>,CFG_RMUX14<35>,CFG_RMUX14<39>,CFG_RMUX14<38>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
W58,CFG_RMUX15<57>,CFG_RMUX15<56>,CFG_RMUX15<54>,CFG_RMUX15<52>,CFG_RMUX15<50>,CFG_RMUX15<10>,CFG_RMUX15<12>,CFG_RMUX15<14>,CFG_RMUX15<16>,CFG_RMUX15<17>,CFG_RMUX15<30>,CFG_RMUX15<32>,CFG_RMUX15<34>,CFG_RMUX15<36>,CFG_RMUX15<37>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
W59,CFG_RMUX15<58>,CFG_RMUX15<59>,CFG_RMUX15<55>,CFG_RMUX15<53>,CFG_RMUX15<51>,CFG_RMUX15<11>,CFG_RMUX15<13>,CFG_RMUX15<15>,CFG_RMUX15<19>,CFG_RMUX15<18>,CFG_RMUX15<31>,CFG_RMUX15<33>,CFG_RMUX15<35>,CFG_RMUX15<39>,CFG_RMUX15<38>,CFG_IOMUX13<6>,CFG_IOMUX13<7>,CFG_IOMUX13<1>,CFG_IOMUX13<3>,CFG_SeamMUX<35>,CFG_IOMUX13<9>
W60,CFG_RMUX12<17>,CFG_RMUX12<16>,CFG_RMUX12<14>,CFG_RMUX12<12>,CFG_RMUX12<10>,CFG_RMUX12<30>,CFG_RMUX12<32>,CFG_RMUX12<34>,CFG_RMUX12<36>,CFG_RMUX12<37>,CFG_RMUX12<50>,CFG_RMUX12<52>,CFG_RMUX12<54>,CFG_RMUX12<56>,CFG_RMUX12<57>,CFG_GclkMUX<4>,CFG_GclkMUX<8>,CFG_GclkMUX<0>,CFG_GclkMUX<2>,CFG_GclkMUX<5>,XXXX
W61,CFG_RMUX12<18>,CFG_RMUX12<19>,CFG_RMUX12<15>,CFG_RMUX12<13>,CFG_RMUX12<11>,CFG_RMUX12<31>,CFG_RMUX12<33>,CFG_RMUX12<35>,CFG_RMUX12<39>,CFG_RMUX12<38>,CFG_RMUX12<51>,CFG_RMUX12<53>,CFG_RMUX12<55>,CFG_RMUX12<59>,CFG_RMUX12<58>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
W62,CFG_RMUX13<17>,CFG_RMUX13<16>,CFG_RMUX13<14>,CFG_RMUX13<12>,CFG_RMUX13<10>,CFG_RMUX13<30>,CFG_RMUX13<32>,CFG_RMUX13<34>,CFG_RMUX13<36>,CFG_RMUX13<37>,CFG_RMUX13<50>,CFG_RMUX13<52>,CFG_RMUX13<54>,CFG_RMUX13<56>,CFG_RMUX13<57>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
W63,CFG_RMUX13<18>,CFG_RMUX13<19>,CFG_RMUX13<15>,CFG_RMUX13<13>,CFG_RMUX13<11>,CFG_RMUX13<31>,CFG_RMUX13<33>,CFG_RMUX13<35>,CFG_RMUX13<39>,CFG_RMUX13<38>,CFG_RMUX13<51>,CFG_RMUX13<53>,CFG_RMUX13<55>,CFG_RMUX13<59>,CFG_RMUX13<58>,CFG_GclkMUX<6>,CFG_GclkMUX<7>,CFG_GclkMUX<1>,CFG_GclkMUX<3>,XXXX,XXXX
W64,CFG_RMUX14<47>,CFG_RMUX14<46>,CFG_RMUX14<44>,CFG_RMUX14<42>,CFG_RMUX14<40>,CFG_RMUX14<0>,CFG_RMUX14<2>,CFG_RMUX14<4>,CFG_RMUX14<6>,CFG_RMUX14<7>,CFG_RMUX14<20>,CFG_RMUX14<22>,CFG_RMUX14<24>,CFG_RMUX14<26>,CFG_RMUX14<27>,CFG_GclkMUX<13>,CFG_GclkMUX<17>,CFG_GclkMUX<9>,CFG_GclkMUX<11>,CFG_GclkMUX<14>,XXXX
W65,CFG_RMUX14<48>,CFG_RMUX14<49>,CFG_RMUX14<45>,CFG_RMUX14<43>,CFG_RMUX14<41>,CFG_RMUX14<1>,CFG_RMUX14<3>,CFG_RMUX14<5>,CFG_RMUX14<9>,CFG_RMUX14<8>,CFG_RMUX14<21>,CFG_RMUX14<23>,CFG_RMUX14<25>,CFG_RMUX14<29>,CFG_RMUX14<28>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
W66,CFG_RMUX15<47>,CFG_RMUX15<46>,CFG_RMUX15<44>,CFG_RMUX15<42>,CFG_RMUX15<40>,CFG_RMUX15<0>,CFG_RMUX15<2>,CFG_RMUX15<4>,CFG_RMUX15<6>,CFG_RMUX15<7>,CFG_RMUX15<20>,CFG_RMUX15<22>,CFG_RMUX15<24>,CFG_RMUX15<26>,CFG_RMUX15<27>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
W67,CFG_RMUX15<48>,CFG_RMUX15<49>,CFG_RMUX15<45>,CFG_RMUX15<43>,CFG_RMUX15<41>,CFG_RMUX15<1>,CFG_RMUX15<3>,CFG_RMUX15<5>,CFG_RMUX15<9>,CFG_RMUX15<8>,CFG_RMUX15<21>,CFG_RMUX15<23>,CFG_RMUX15<25>,CFG_RMUX15<29>,CFG_RMUX15<28>,CFG_GclkMUX<15>,CFG_GclkMUX<16>,CFG_GclkMUX<10>,CFG_GclkMUX<12>,XXXX,XXXX

