netlist,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,
W38,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_BBMUXW11<8>,CFG_BBMUXW11<6>,CFG_BBMUXW11<4>,CFG_BBMUXW11<2>,CFG_BBMUXW11<0>,CFG_SEAMMUX<71>,CFG_SEAMMUX<70>,CFG_SEAMMUX<69>,CFG_SEAMMUX<68>,CFG_SEAMMUX<67>,CFG_SEAMMUX<66>,
W39,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_BBMUXW11<7>,CFG_BBMUXW11<5>,CFG_BBMUXW11<3>,CFG_BBMUXW11<1>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W40,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_BBMUXE0<9>,CFG_BBMUXE0<7>,CFG_BBMUXE0<6>,CFG_BBMUXE0<3>,CFG_BBMUXE0<1>,CFG_SEAMMUX<77>,CFG_SEAMMUX<76>,CFG_SEAMMUX<75>,CFG_SEAMMUX<74>,CFG_SEAMMUX<73>,CFG_SEAMMUX<72>,
W41,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W42,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_BBMUXE0<4>,CFG_BBMUXE0<8>,CFG_BBMUXE0<5>,CFG_BBMUXE0<2>,CFG_BBMUXE0<0>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W43,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_BBMUXE1<4>,CFG_BBMUXE1<8>,CFG_BBMUXE1<5>,CFG_BBMUXE1<2>,CFG_BBMUXE1<0>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W44,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W45,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_BBMUXE1<9>,CFG_BBMUXE1<7>,CFG_BBMUXE1<6>,CFG_BBMUXE1<3>,CFG_BBMUXE1<1>,CFG_SEAMMUX<83>,CFG_SEAMMUX<82>,CFG_SEAMMUX<81>,CFG_SEAMMUX<80>,CFG_SEAMMUX<79>,CFG_SEAMMUX<78>,
W46,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_BBMUXE2<9>,CFG_BBMUXE2<7>,CFG_BBMUXE2<6>,CFG_BBMUXE2<3>,CFG_BBMUXE2<1>,CFG_SEAMMUX<89>,CFG_SEAMMUX<88>,CFG_SEAMMUX<87>,CFG_SEAMMUX<86>,CFG_SEAMMUX<85>,CFG_SEAMMUX<84>,
W47,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
