netlist,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,
W24,CFG_RMUX4<17>,CFG_RMUX4<16>,CFG_RMUX4<14>,CFG_RMUX4<12>,CFG_RMUX4<10>,CFG_RMUX4<30>,CFG_RMUX4<32>,CFG_RMUX4<34>,CFG_RMUX4<36>,CFG_RMUX4<37>,CFG_RMUX4<57>,CFG_RMUX4<56>,CFG_RMUX4<54>,CFG_RMUX4<52>,CFG_RMUX4<50>,CFG_IMUX6<0>,CFG_IMUX6<2>,CFG_IMUX6<4>,CFG_IMUX6<6>,CFG_IMUX6<8>,CFG_IMUX6<9>,CFG_IMUX6<21>,CFG_IMUX6<20>,CFG_IMUX6<18>,CFG_IMUX6<16>,CFG_IMUX6<14>,CFG_IMUX6<12>,CFG_LUT<97>,CFG_LUT<99>,CFG_LUT<98>,CFG_LUT<96>,CFG_LUTCMUX<13>,CFG_ASYNCMUX<6>,CFG_OMUX6<0>,
W25,CFG_RMUX4<18>,CFG_RMUX4<19>,CFG_RMUX4<15>,CFG_RMUX4<13>,CFG_RMUX4<11>,CFG_RMUX4<31>,CFG_RMUX4<33>,CFG_RMUX4<35>,CFG_RMUX4<39>,CFG_RMUX4<38>,CFG_RMUX4<58>,CFG_RMUX4<59>,CFG_RMUX4<55>,CFG_RMUX4<53>,CFG_RMUX4<51>,CFG_IMUX6<1>,CFG_IMUX6<3>,CFG_IMUX6<5>,CFG_IMUX6<7>,CFG_IMUX6<11>,CFG_IMUX6<10>,CFG_IMUX6<22>,CFG_IMUX6<23>,CFG_IMUX6<19>,CFG_IMUX6<17>,CFG_IMUX6<15>,CFG_IMUX6<13>,CFG_LUT<103>,CFG_LUT<101>,CFG_LUT<100>,CFG_LUT<102>,XXXX,CFG_CLKMUX<6>,XXXX,
W26,CFG_RMUX5<17>,CFG_RMUX5<16>,CFG_RMUX5<14>,CFG_RMUX5<12>,CFG_RMUX5<10>,CFG_RMUX5<30>,CFG_RMUX5<32>,CFG_RMUX5<34>,CFG_RMUX5<36>,CFG_RMUX5<37>,CFG_RMUX5<57>,CFG_RMUX5<56>,CFG_RMUX5<54>,CFG_RMUX5<52>,CFG_RMUX5<50>,CFG_IMUX6<24>,CFG_IMUX6<26>,CFG_IMUX6<28>,CFG_IMUX6<30>,CFG_IMUX6<32>,CFG_IMUX6<33>,CFG_IMUX6<45>,CFG_IMUX6<44>,CFG_IMUX6<42>,CFG_IMUX6<40>,CFG_IMUX6<38>,CFG_IMUX6<36>,CFG_LUT<105>,CFG_LUT<107>,CFG_LUT<106>,CFG_LUT<104>,CFG_CARRY_CRL<6>,CFG_SHIFTMUX<6>,CFG_OMUX6<1>,
W27,CFG_RMUX5<18>,CFG_RMUX5<19>,CFG_RMUX5<15>,CFG_RMUX5<13>,CFG_RMUX5<11>,CFG_RMUX5<31>,CFG_RMUX5<33>,CFG_RMUX5<35>,CFG_RMUX5<39>,CFG_RMUX5<38>,CFG_RMUX5<58>,CFG_RMUX5<59>,CFG_RMUX5<55>,CFG_RMUX5<53>,CFG_RMUX5<51>,CFG_IMUX6<25>,CFG_IMUX6<27>,CFG_IMUX6<29>,CFG_IMUX6<31>,CFG_IMUX6<35>,CFG_IMUX6<34>,CFG_IMUX6<46>,CFG_IMUX6<47>,CFG_IMUX6<43>,CFG_IMUX6<41>,CFG_IMUX6<39>,CFG_IMUX6<37>,CFG_LUT<111>,CFG_LUT<109>,CFG_LUT<108>,CFG_LUT<110>,CFG_LUTCMUX<12>,CFG_BYPASSEN<6>,CFG_OMUX6<2>,
W28,CFG_RMUX6<47>,CFG_RMUX6<46>,CFG_RMUX6<44>,CFG_RMUX6<42>,CFG_RMUX6<40>,CFG_RMUX6<0>,CFG_RMUX6<2>,CFG_RMUX6<4>,CFG_RMUX6<6>,CFG_RMUX6<7>,CFG_RMUX6<27>,CFG_RMUX6<26>,CFG_RMUX6<24>,CFG_RMUX6<22>,CFG_RMUX6<20>,CFG_IMUX7<0>,CFG_IMUX7<2>,CFG_IMUX7<4>,CFG_IMUX7<6>,CFG_IMUX7<8>,CFG_IMUX7<9>,CFG_IMUX7<21>,CFG_IMUX7<20>,CFG_IMUX7<18>,CFG_IMUX7<16>,CFG_IMUX7<14>,CFG_IMUX7<12>,CFG_LUT<113>,CFG_LUT<115>,CFG_LUT<114>,CFG_LUT<112>,CFG_LUTCMUX<15>,CFG_ASYNCMUX<7>,CFG_OMUX7<0>,
W29,CFG_RMUX6<48>,CFG_RMUX6<49>,CFG_RMUX6<45>,CFG_RMUX6<43>,CFG_RMUX6<41>,CFG_RMUX6<1>,CFG_RMUX6<3>,CFG_RMUX6<5>,CFG_RMUX6<9>,CFG_RMUX6<8>,CFG_RMUX6<28>,CFG_RMUX6<29>,CFG_RMUX6<25>,CFG_RMUX6<23>,CFG_RMUX6<21>,CFG_IMUX7<1>,CFG_IMUX7<3>,CFG_IMUX7<5>,CFG_IMUX7<7>,CFG_IMUX7<11>,CFG_IMUX7<10>,CFG_IMUX7<22>,CFG_IMUX7<23>,CFG_IMUX7<19>,CFG_IMUX7<17>,CFG_IMUX7<15>,CFG_IMUX7<13>,CFG_LUT<119>,CFG_LUT<117>,CFG_LUT<116>,CFG_LUT<118>,XXXX,CFG_CLKMUX<7>,XXXX,
W30,CFG_RMUX7<47>,CFG_RMUX7<46>,CFG_RMUX7<44>,CFG_RMUX7<42>,CFG_RMUX7<40>,CFG_RMUX7<0>,CFG_RMUX7<2>,CFG_RMUX7<4>,CFG_RMUX7<6>,CFG_RMUX7<7>,CFG_RMUX7<27>,CFG_RMUX7<26>,CFG_RMUX7<24>,CFG_RMUX7<22>,CFG_RMUX7<20>,CFG_IMUX7<24>,CFG_IMUX7<26>,CFG_IMUX7<28>,CFG_IMUX7<30>,CFG_IMUX7<32>,CFG_IMUX7<33>,CFG_IMUX7<45>,CFG_IMUX7<44>,CFG_IMUX7<42>,CFG_IMUX7<40>,CFG_IMUX7<38>,CFG_IMUX7<36>,CFG_LUT<121>,CFG_LUT<123>,CFG_LUT<122>,CFG_LUT<120>,CFG_CARRY_CRL<7>,CFG_SHIFTMUX<7>,CFG_OMUX7<1>,
W31,CFG_RMUX7<48>,CFG_RMUX7<49>,CFG_RMUX7<45>,CFG_RMUX7<43>,CFG_RMUX7<41>,CFG_RMUX7<1>,CFG_RMUX7<3>,CFG_RMUX7<5>,CFG_RMUX7<9>,CFG_RMUX7<8>,CFG_RMUX7<28>,CFG_RMUX7<29>,CFG_RMUX7<25>,CFG_RMUX7<23>,CFG_RMUX7<21>,CFG_IMUX7<25>,CFG_IMUX7<27>,CFG_IMUX7<29>,CFG_IMUX7<31>,CFG_IMUX7<35>,CFG_IMUX7<34>,CFG_IMUX7<46>,CFG_IMUX7<47>,CFG_IMUX7<43>,CFG_IMUX7<41>,CFG_IMUX7<39>,CFG_IMUX7<37>,CFG_LUT<127>,CFG_LUT<125>,CFG_LUT<124>,CFG_LUT<126>,CFG_LUTCMUX<14>,CFG_BYPASSEN<7>,CFG_OMUX7<2>,
W32,XXXX,XXXX,CFG_SEAMMUX<0>,CFG_SEAMMUX<1>,CFG_SEAMMUX<2>,CFG_SEAMMUX<3>,CFG_SEAMMUX<4>,CFG_SEAMMUX<5>,CFG_SEAMMUX<12>,CFG_SEAMMUX<13>,CFG_SEAMMUX<14>,CFG_SEAMMUX<15>,CFG_SEAMMUX<16>,CFG_SEAMMUX<17>,XXXX,CFG_CTRLMUX<0>,CFG_CTRLMUX<2>,CFG_CTRLMUX<4>,CFG_CTRLMUX<6>,CFG_CTRLMUX<8>,CFG_CTRLMUX<10>,CFG_CTRLMUX<22>,CFG_CTRLMUX<20>,CFG_CTRLMUX<18>,CFG_CTRLMUX<16>,CFG_CTRLMUX<14>,CFG_CTRLMUX<12>,CFG_TILECLKMUX<3>,CFG_TILECLKMUX<2>,CFG_TILECLKMUX<1>,CFG_TILECLKMUX<0>,CFG_TILECLKENMUX<5>,CFG_TILECLKENMUX<4>,CFG_TILECLKENMUX<3>,
W33,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_CTRLMUX<1>,CFG_CTRLMUX<3>,CFG_CTRLMUX<5>,CFG_CTRLMUX<7>,CFG_CTRLMUX<9>,CFG_CTRLMUX<11>,CFG_CTRLMUX<23>,CFG_CTRLMUX<21>,CFG_CTRLMUX<19>,CFG_CTRLMUX<17>,CFG_CTRLMUX<15>,CFG_CTRLMUX<13>,CFG_TILEASYNCMUX<3>,CFG_TILEASYNCMUX<2>,CFG_TILEASYNCMUX<1>,CFG_TILEASYNCMUX<0>,CFG_TILESYNCMUX<5>,CFG_TILESYNCMUX<4>,CFG_TILESYNCMUX<3>,
W34,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_CTRLMUX<25>,CFG_CTRLMUX<27>,CFG_CTRLMUX<29>,CFG_CTRLMUX<31>,CFG_CTRLMUX<33>,CFG_CTRLMUX<35>,CFG_CTRLMUX<47>,CFG_CTRLMUX<45>,CFG_CTRLMUX<43>,CFG_CTRLMUX<41>,CFG_CTRLMUX<39>,CFG_CTRLMUX<37>,CFG_TILEASYNCMUX<7>,CFG_TILEASYNCMUX<6>,CFG_TILEASYNCMUX<5>,CFG_TILEASYNCMUX<4>,CFG_TILESYNCMUX<2>,CFG_TILESYNCMUX<1>,CFG_TILESYNCMUX<0>,
W35,XXXX,XXXX,CFG_SEAMMUX<6>,CFG_SEAMMUX<7>,CFG_SEAMMUX<8>,CFG_SEAMMUX<9>,CFG_SEAMMUX<10>,CFG_SEAMMUX<11>,CFG_SEAMMUX<18>,CFG_SEAMMUX<19>,CFG_SEAMMUX<20>,CFG_SEAMMUX<21>,CFG_SEAMMUX<22>,CFG_SEAMMUX<23>,XXXX,CFG_CTRLMUX<24>,CFG_CTRLMUX<26>,CFG_CTRLMUX<28>,CFG_CTRLMUX<30>,CFG_CTRLMUX<32>,CFG_CTRLMUX<34>,CFG_CTRLMUX<46>,CFG_CTRLMUX<44>,CFG_CTRLMUX<42>,CFG_CTRLMUX<40>,CFG_CTRLMUX<38>,CFG_CTRLMUX<36>,CFG_TILECLKMUX<7>,CFG_TILECLKMUX<6>,CFG_TILECLKMUX<5>,CFG_TILECLKMUX<4>,CFG_TILECLKENMUX<2>,CFG_TILECLKENMUX<1>,CFG_TILECLKENMUX<0>,
W36,CFG_RMUX8<7>,CFG_RMUX8<6>,CFG_RMUX8<4>,CFG_RMUX8<2>,CFG_RMUX8<0>,CFG_RMUX8<20>,CFG_RMUX8<22>,CFG_RMUX8<24>,CFG_RMUX8<26>,CFG_RMUX8<27>,CFG_RMUX8<47>,CFG_RMUX8<46>,CFG_RMUX8<44>,CFG_RMUX8<42>,CFG_RMUX8<40>,CFG_IMUX8<0>,CFG_IMUX8<2>,CFG_IMUX8<4>,CFG_IMUX8<6>,CFG_IMUX8<8>,CFG_IMUX8<9>,CFG_IMUX8<21>,CFG_IMUX8<20>,CFG_IMUX8<18>,CFG_IMUX8<16>,CFG_IMUX8<14>,CFG_IMUX8<12>,CFG_LUT<129>,CFG_LUT<131>,CFG_LUT<130>,CFG_LUT<128>,CFG_LUTCMUX<17>,CFG_ASYNCMUX<8>,CFG_OMUX8<0>,
W37,CFG_RMUX8<8>,CFG_RMUX8<9>,CFG_RMUX8<5>,CFG_RMUX8<3>,CFG_RMUX8<1>,CFG_RMUX8<21>,CFG_RMUX8<23>,CFG_RMUX8<25>,CFG_RMUX8<29>,CFG_RMUX8<28>,CFG_RMUX8<48>,CFG_RMUX8<49>,CFG_RMUX8<45>,CFG_RMUX8<43>,CFG_RMUX8<41>,CFG_IMUX8<1>,CFG_IMUX8<3>,CFG_IMUX8<5>,CFG_IMUX8<7>,CFG_IMUX8<11>,CFG_IMUX8<10>,CFG_IMUX8<22>,CFG_IMUX8<23>,CFG_IMUX8<19>,CFG_IMUX8<17>,CFG_IMUX8<15>,CFG_IMUX8<13>,CFG_LUT<135>,CFG_LUT<133>,CFG_LUT<132>,CFG_LUT<134>,XXXX,CFG_CLKMUX<8>,XXXX,
W38,CFG_RMUX9<7>,CFG_RMUX9<6>,CFG_RMUX9<4>,CFG_RMUX9<2>,CFG_RMUX9<0>,CFG_RMUX9<20>,CFG_RMUX9<22>,CFG_RMUX9<24>,CFG_RMUX9<26>,CFG_RMUX9<27>,CFG_RMUX9<47>,CFG_RMUX9<46>,CFG_RMUX9<44>,CFG_RMUX9<42>,CFG_RMUX9<40>,CFG_IMUX8<24>,CFG_IMUX8<26>,CFG_IMUX8<28>,CFG_IMUX8<30>,CFG_IMUX8<32>,CFG_IMUX8<33>,CFG_IMUX8<45>,CFG_IMUX8<44>,CFG_IMUX8<42>,CFG_IMUX8<40>,CFG_IMUX8<38>,CFG_IMUX8<36>,CFG_LUT<137>,CFG_LUT<139>,CFG_LUT<138>,CFG_LUT<136>,CFG_CARRY_CRL<8>,CFG_SHIFTMUX<8>,CFG_OMUX8<1>,
W39,CFG_RMUX9<8>,CFG_RMUX9<9>,CFG_RMUX9<5>,CFG_RMUX9<3>,CFG_RMUX9<1>,CFG_RMUX9<21>,CFG_RMUX9<23>,CFG_RMUX9<25>,CFG_RMUX9<29>,CFG_RMUX9<28>,CFG_RMUX9<48>,CFG_RMUX9<49>,CFG_RMUX9<45>,CFG_RMUX9<43>,CFG_RMUX9<41>,CFG_IMUX8<25>,CFG_IMUX8<27>,CFG_IMUX8<29>,CFG_IMUX8<31>,CFG_IMUX8<35>,CFG_IMUX8<34>,CFG_IMUX8<46>,CFG_IMUX8<47>,CFG_IMUX8<43>,CFG_IMUX8<41>,CFG_IMUX8<39>,CFG_IMUX8<37>,CFG_LUT<143>,CFG_LUT<141>,CFG_LUT<140>,CFG_LUT<142>,CFG_LUTCMUX<16>,CFG_BYPASSEN<8>,CFG_OMUX8<2>,
