netlist,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,
W43,CFG_ENA_REG_MODE<4>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_SEAMMUX3<12>,CFG_SEAMMUX3<13>,CFG_SEAMMUX3<14>,CFG_SEAMMUX3<15>,CFG_SEAMMUX3<16>,CFG_SEAMMUX3<17>,XXXX,XXXX,
W44,CFG_INPUTMUX<2>,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_IOMUX3<19>,CFG_IOMUX3<14>,CFG_IOMUX3<15>,CFG_IOMUX3<12>,CFG_IOMUX3<10>,XXXX,CFG_SEAMMUX4<0>,CFG_SEAMMUX4<1>,CFG_SEAMMUX4<2>,CFG_SEAMMUX4<3>,CFG_SEAMMUX4<4>,CFG_SEAMMUX4<5>,XXXX,XXXX,
W45,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_IOMUX3<29>,CFG_IOMUX3<24>,CFG_IOMUX3<25>,CFG_IOMUX3<22>,CFG_IOMUX3<20>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W46,CFG_INPUTMUX<3>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W47,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_IOMUX3<28>,CFG_IOMUX3<27>,CFG_IOMUX3<26>,CFG_IOMUX3<23>,CFG_IOMUX3<21>,XXXX,CFG_SEAMMUX4<6>,CFG_SEAMMUX4<7>,CFG_SEAMMUX4<8>,CFG_SEAMMUX4<9>,CFG_SEAMMUX4<10>,CFG_SEAMMUX4<11>,XXXX,XXXX,
W48,CFG_GCLKDMUX<9>,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_IOMUX4<8>,CFG_IOMUX4<7>,CFG_IOMUX4<6>,CFG_IOMUX4<3>,CFG_IOMUX4<1>,XXXX,CFG_SEAMMUX4<12>,CFG_SEAMMUX4<13>,CFG_SEAMMUX4<14>,CFG_SEAMMUX4<15>,CFG_SEAMMUX4<16>,CFG_SEAMMUX4<17>,XXXX,XXXX,
W49,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W50,CFG_GCLKDMUX<8>,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_IOMUX4<9>,CFG_IOMUX4<4>,CFG_IOMUX4<5>,CFG_IOMUX4<2>,CFG_IOMUX4<0>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W51,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_IOMUX4<19>,CFG_IOMUX4<14>,CFG_IOMUX4<15>,CFG_IOMUX4<12>,CFG_IOMUX4<10>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W52,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W53,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_IOMUX4<18>,CFG_IOMUX4<17>,CFG_IOMUX4<16>,CFG_IOMUX4<13>,CFG_IOMUX4<11>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W54,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_IOMUX4<28>,CFG_IOMUX4<27>,CFG_IOMUX4<26>,CFG_IOMUX4<23>,CFG_IOMUX4<21>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W55,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W56,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_IOMUX4<29>,CFG_IOMUX4<24>,CFG_IOMUX4<25>,CFG_IOMUX4<22>,CFG_IOMUX4<20>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W57,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W58,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W59,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W60,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W61,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W62,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W63,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W64,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W65,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W66,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W67,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,

